Shoulder Radio, Flashlight, Whistle, High Wave, Examine Eyes, Take BP, Walking, Location Sent, Requesting Backup, Vitals Sent, Shoulder Radio Start, Shoulder Radio End, Shoulder Radio Delta, Flashlight Start, Flashlight End, Flashlight Delta, Whistle Start, Whistle End, Whistle Delta, High Wave Start, High Wave End, High Wave Delta, Examine Eyes Start, Examine Eyes End, Examine Eyes Delta, Take BP Start, Take BP End, Take BP Delta, Distance Magnitude, App Usage Count, User, Anomaly
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37681251,   37687907, 6.656, 37690464,   37695592, 5.128, 37694577,   37699683, 5.106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.423049189198, 4,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37704823,   37710418, 5.595, 37713500,   37719118, 5.618, 37718643,   37723220, 4.577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33348931438, 1,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37739623,   37746262, 6.639, 37748325,   37755557, 7.232, 37760109,   37764208, 4.099, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26389299066, 3,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37788789,   37798507, 9.718, 37797476,   37802584, 5.108, 37804665,   37808746, 4.081, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60386591547, 2,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37813367,   37820505, 7.138, 37820538,   37830243, 9.705, 37830245,   37833299, 3.054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85435433261, 4,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37842536,   37848149, 5.613, 37847146,   37854301, 7.155, 37855863,   37859417, 3.554, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7495442884, 1,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37873261,   37881428, 8.167, 37882472,   37890145, 7.673, 37889724,   37893720, 3.996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5589929775, 1,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37897329,   37905499, 8.17, 37905017,   37911663, 6.646, 37912703,   37917277, 4.574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.776353473882, 1,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37934706,   37938290, 3.584, 37940414,   37944413, 3.999, 37944444,   37948003, 3.559, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37723289901, 4,     100102, Normal
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 37959281,   37963359, 4.078, 37963390,   37967973, 4.583, 37967975,   37973089, 5.114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.299223302147, 1,     100102, Normal
